time [ms],roll [rad],pitch [rad],yaw [rad]
0,-0.0382744294146247,0.0195526534961621,0.09250756105435265
10,-0.0370302877550071,0.0185948915437836,0.09314773532118603
20,-0.0359434009407181,0.0178567751612772,0.09381923450348206
30,-0.0352898229168114,0.0175254000909313,0.09430868384503355
40,-0.0352610859316148,0.0177247090133678,0.09468514271093453
50,-0.0356752425586489,0.0184090243686657,0.09510054886472386
60,-0.0362570069653714,0.0193621113164087,0.09561384548867724
70,-0.0367313707616492,0.0201654735538197,0.09625187246246236
80,-0.0367972245873742,0.0205965338534726,0.09701841257377564
90,-0.0362479313559679,0.0205820557626794,0.09776619140801834
100,-0.0352331975602161,0.0201241312705116,0.09827969485662047
110,-0.0340049531745547,0.019417383261695,0.09862589560372714
120,-0.0328831260809776,0.0187542164900697,0.09898056090637786
130,-0.0321412481102165,0.0184460849372245,0.099525204256242
140,-0.0318397339839478,0.0186529728304934,0.10011946885076983
150,-0.0319381803583338,0.0193221723719247,0.10061973689093096
160,-0.0324889017290006,0.020292266117251,0.10105496452205553
170,-0.0333251544219993,0.0214576434813843,0.10165716682720993
180,-0.0343895121323885,0.0226713563081394,0.10256072381815895
190,-0.0351767003995066,0.0236927515819794,0.1036099181152168
200,-0.0351945359594,0.0242832534138627,0.10430044812787265
210,-0.0347134806515429,0.0243513787242413,0.10457896005220269
220,-0.0338609844380173,0.0241508719604334,0.1048430351585643
230,-0.0328181896611155,0.0240241195703018,0.10530100109181584
240,-0.0320504846114742,0.0240940778549752,0.10580691532898046
250,-0.0317856299764305,0.0243106654833877,0.10635088472527854
260,-0.0319811592950897,0.0246444967689849,0.1070113441163052
270,-0.0324522344992788,0.0250980631908125,0.10758071407724135
280,-0.0328690781684204,0.0256674864477285,0.10786793628162328
290,-0.0331848244521079,0.0262116785702071,0.10798668416372537
300,-0.0334694551438701,0.0266414991686622,0.1081698050835922
310,-0.0335962775734783,0.0269301682786848,0.10844128061099378
320,-0.0337506833703048,0.0270390964472162,0.10874261194950607
330,-0.0337337379841989,0.0270655674693632,0.10915991895017374
340,-0.0333481553171194,0.0270692092324019,0.10966133486592122
350,-0.0327764539506957,0.0270280853083904,0.1100955773148955
360,-0.0320745068041805,0.0269611671296408,0.11033313458014393
370,-0.0315449952818346,0.0269346405726853,0.11047538612153707
380,-0.0313527969484824,0.0271379981903003,0.1105821855232827
390,-0.0314532715176877,0.0276457836056227,0.11065069209108724
400,-0.0318606864669374,0.0283760100132731,0.11070426217241702
410,-0.0325213040296938,0.0291302513627453,0.11099888734243035
420,-0.0328792801796987,0.029778995942495,0.1114098922146105
430,-0.0328582108248548,0.0301540241164508,0.11161161840913847
440,-0.0325854907158985,0.0302081198059453,0.11150626420191379
450,-0.0321122111044712,0.0300750456244588,0.11125773877202216
460,-0.0317799627785842,0.0298955724714068,0.11106858042029955
470,-0.0314024349837552,0.029711271793233,0.11100366937613537
480,-0.0309224614392973,0.0295191126166264,0.11092467595469735
490,-0.0305348494439323,0.0294181058694229,0.11069013074478473
500,-0.0303468527619257,0.0297001697378192,0.11044249902119674
510,-0.0301692883535703,0.0305491575163128,0.1105039325611572
520,-0.0298928315364765,0.0316768209869893,0.11080096535397144
530,-0.0295995224791622,0.0325414518771075,0.11111016666102591
540,-0.0291549778883858,0.0329256409791264,0.1115187510508242
550,-0.0281947038517646,0.0329937067118099,0.11204594367963994
560,-0.0267710611922866,0.0329019002539607,0.11253399509492046
570,-0.0252016998605675,0.0326593946791267,0.11280508602725914
580,-0.0237519661108983,0.0323158090100552,0.11281301337785421
590,-0.022738503317573,0.0321421864278094,0.11252718454250288
600,-0.022371318753971,0.032396125490528,0.11215425508205179
610,-0.0225674626707966,0.0331416586340933,0.11182852765765894
620,-0.0232824911016929,0.0341972805088068,0.11156564827884208
630,-0.024128529894531,0.0352359131377798,0.11140229936733315
640,-0.0249114101977072,0.0358914840979286,0.11129540353325984
650,-0.0252750420123532,0.0359304814716283,0.11119867873051903
660,-0.0249498587703405,0.0354094699031423,0.11097966682533777
670,-0.0241431973513215,0.0345309977431578,0.11069978944290915
680,-0.0232447524956738,0.0336038125840925,0.11044627028730791
690,-0.0225621047003935,0.0328242436640348,0.1101664723061031
700,-0.0222775583449859,0.03232576794871,0.10977700506402233
710,-0.022496352890276,0.0321571022340868,0.1093045141417075
720,-0.0230249556100075,0.0323237703667619,0.10894164643559345
730,-0.0235806884961328,0.0326696677116353,0.10870940539886575
740,-0.024102368382613,0.0329829068848871,0.10850873627601354
750,-0.0245093743722333,0.0330286841000344,0.10830817980826635
760,-0.0247856170292674,0.0326907441970212,0.10818936150238989
770,-0.0247653243912306,0.0319135476806069,0.10825543903153578
780,-0.0242946226819199,0.0306761561292185,0.10835407355708004
790,-0.0235580659395146,0.0291639992222218,0.10829892013480236
800,-0.0228667751509217,0.0277565543293645,0.10805033816352982
810,-0.0224392048688978,0.0269913845337949,0.10784251590264704
820,-0.0223233301165883,0.0271251136312898,0.10779011821583095
830,-0.0226691402011073,0.0279346819794762,0.1077350233626222
840,-0.0234559340842304,0.0290258470333296,0.10761844392668962
850,-0.0245703703839345,0.0300393167654748,0.10752162265806153
860,-0.0257717896570627,0.0307885787313196,0.10739506593412029
870,-0.0267883734229368,0.0311616410339824,0.10710380472778325
880,-0.0274420529209525,0.0310645963857886,0.10658309936911725
890,-0.0278072238313914,0.0306037743423071,0.10604174308748715
900,-0.0279408895346206,0.030043928247458,0.10570673573819223
910,-0.0276769693073211,0.0296196567443651,0.10539046035175459
920,-0.0272830567518191,0.0293124021975544,0.10479286703622237
930,-0.0271611481564449,0.0289967506669561,0.10398485509020139
940,-0.027470534162883,0.0287850212577933,0.10326310762689617
950,-0.0282003759818035,0.0289376533806484,0.10281590291325449
960,-0.029261856842502,0.0294992794032353,0.1025197165009919
970,-0.0304678599691521,0.0302245901874778,0.10230073985638577
980,-0.0313487793792948,0.0308189439617879,0.10220053395095463
990,-0.031700097933625,0.0311813368200982,0.10212116469663401
1000,-0.0314482457343416,0.0312928185289022,0.10211988041790576
1010,-0.0307480978658836,0.0312190226223573,0.1023000546017856
1020,-0.0299953341196382,0.0311222403523076,0.10256084102027074
1030,-0.0297310203176699,0.0311676528804012,0.10273165110520521
1040,-0.03013550011252,0.0314350159708973,0.10292381264395578
1050,-0.0310381707351956,0.031895396342775,0.10337277530053135
1060,-0.0321657974064075,0.0325535050916594,0.10409407167554807
1070,-0.0331746614518173,0.0332201199058651,0.10478428303593468
1080,-0.0337259489261919,0.0336359922324595,0.10528190440652097
1090,-0.0337514209978565,0.0336378737419776,0.10566512288922425
1100,-0.0333692466539275,0.0334471183210883,0.1060742852726666
1110,-0.0328461741332488,0.0333507877170029,0.106480160882376
1120,-0.03258316669906,0.0334446802219655,0.10683573000033775
1130,-0.0330213094716566,0.0337473111775789,0.10714684148342069
1140,-0.0341345329175085,0.0343532543113156,0.10749101151263041
1150,-0.0355516452033221,0.0352076137555231,0.10787669932971622
1160,-0.0368557617203129,0.0361234380567448,0.10839387551783908
1170,-0.037594158354491,0.03677834069366,0.10894154659925182
1180,-0.0377192705308958,0.0369863785779047,0.10931505496015403
1190,-0.037348234284343,0.036806796445996,0.10952170836857666
1200,-0.0366764058009776,0.0364843807907937,0.10969628654666441
1210,-0.0361095814838631,0.0363084204196429,0.10986183359466284
1220,-0.0359589429293954,0.0364240600215971,0.11002397354403715
1230,-0.0362082854096383,0.0367994668909885,0.11021609383442055
1240,-0.0368364639621368,0.0373217534197058,0.11047070341484555
1250,-0.0377102128381791,0.0378364777305789,0.11082123365053986
1260,-0.038600876495882,0.0382736481676649,0.11119205482681815
1270,-0.0393489252545877,0.0384601497235803,0.11154994634971405
1280,-0.0397834716519129,0.0382988142955467,0.11182903967834301
1290,-0.039831518715719,0.0378017921000295,0.11190122809202085
1300,-0.039474930238056,0.0371362735081364,0.11178013161344746
1310,-0.0389088359324557,0.0364954536826018,0.11146725795155588
1320,-0.0384668594785324,0.0361039547677195,0.11106977782099992
1330,-0.0383446418343462,0.0361625666665293,0.11074804389925164
1340,-0.0386219366732823,0.0367600755427156,0.11057773141336402
1350,-0.039204596896839,0.0377249092657118,0.11056786409522501
1360,-0.0398616650498044,0.0387262963287008,0.11062081031312032
1370,-0.0403417285667543,0.0395362012313005,0.11067998013547609
1380,-0.0404876622991603,0.040041188869155,0.1106924646710925
1390,-0.0402337148067802,0.0403229383551211,0.11076140499665099
1400,-0.0397207109115718,0.0403862943528821,0.11090387856425243
1410,-0.0392534724764337,0.0402618123340515,0.11104939577965856
1420,-0.0389503488047906,0.0400431940898233,0.11123977397571605
1430,-0.0388889757078007,0.0397226775907294,0.11148233165245669
1440,-0.0389242068166919,0.0392297598998868,0.11163243550331625
1450,-0.0390491924415731,0.0385074902685476,0.11165270048794773
1460,-0.039185147059579,0.0377778522334475,0.11164293241583234
1470,-0.0392167187288199,0.0374215370923294,0.11163506933363299
1480,-0.0392666167032965,0.0376710938313331,0.11160258280600255
1490,-0.0394662984728163,0.0384839989677381,0.11155893803245753
1500,-0.0397951474282916,0.0395405430151067,0.11146783235544788
